fix	test	baseline	mutated	restored	bytes	verdict
revert_control_ext_ports_call	tools/ext_ambient_inventory/fixtures/hook_scope/control_ext_ports_call.ail	GREEN	RED	GREEN	same	PASS
revert_control_hook_reaches_env	tools/ext_ambient_inventory/fixtures/hook_scope/control_hook_reaches_env.ail	GREEN	RED	GREEN	same	PASS
revert_control_interpolated_call	tools/ext_ambient_inventory/fixtures/hook_scope/control_interpolated_call.ail	GREEN	RED	GREEN	same	PASS
revert_control_named_hook_in_register	tools/ext_ambient_inventory/fixtures/hook_scope/control_named_hook_in_register.ail	GREEN	RED	GREEN	same	PASS
revert_reject_binding_unresolvable	tools/ext_ambient_inventory/fixtures/hook_scope/reject_binding_unresolvable.ail	GREEN	RED	GREEN	same	PASS
revert_reject_unknown_callee	tools/ext_ambient_inventory/fixtures/hook_scope/reject_unknown_callee.ail	GREEN	RED	GREEN	same	PASS
revert_control_registration_only	tools/ext_ambient_inventory/fixtures/hook_scope/control_registration_only.ail	GREEN	RED	GREEN	same	PASS
revert_control_capability_list_empty	tools/ext_ambient_inventory/fixtures/hook_scope/control_capability_list_empty.ail	GREEN	RED	GREEN	same	PASS
revert_control_capability_list_named_wide	tools/ext_ambient_inventory/fixtures/hook_scope/control_capability_list_named_wide.ail	GREEN	RED	GREEN	same	PASS
revert_control_capability_list_same_kind	tools/ext_ambient_inventory/fixtures/hook_scope/control_capability_list_same_kind.ail	GREEN	RED	GREEN	same	PASS
revert_reject_capability_list_arity	tools/ext_ambient_inventory/fixtures/hook_scope/reject_capability_list_arity.ail	GREEN	RED	GREEN	same	PASS
revert_reject_capability_list_computed	tools/ext_ambient_inventory/fixtures/hook_scope/reject_capability_list_computed.ail	GREEN	RED	GREEN	same	PASS
revert_reject_capability_list_element	tools/ext_ambient_inventory/fixtures/hook_scope/reject_capability_list_element.ail	GREEN	RED	GREEN	same	PASS
revert_reject_capability_list_juxtaposed	tools/ext_ambient_inventory/fixtures/hook_scope/reject_capability_list_juxtaposed.ail	GREEN	RED	GREEN	same	PASS
revert_reject_capability_list_unknown_kind	tools/ext_ambient_inventory/fixtures/hook_scope/reject_capability_list_unknown_kind.ail	GREEN	RED	GREEN	same	PASS
walk_hook_reaches_env_probe_removed	tools/ext_ambient_inventory/fixtures/hook_scope/control_hook_reaches_env.ail	GREEN	RED	GREEN	same	PASS
walk_registration_only_hook_reads_env	tools/ext_ambient_inventory/fixtures/hook_scope/control_registration_only.ail	GREEN	RED	GREEN	same	PASS
walk_interpolated_call_probe_removed	tools/ext_ambient_inventory/fixtures/hook_scope/control_interpolated_call.ail	GREEN	RED	GREEN	same	PASS
walk_named_hook_probe_removed	tools/ext_ambient_inventory/fixtures/hook_scope/control_named_hook_in_register.ail	GREEN	RED	GREEN	same	PASS
walk_unknown_callee_probe_removed	tools/ext_ambient_inventory/fixtures/hook_scope/reject_unknown_callee.ail	GREEN	RED	GREEN	same	PASS
walk_named_wide_probe_removed	tools/ext_ambient_inventory/fixtures/hook_scope/control_capability_list_named_wide.ail	GREEN	RED	GREEN	same	PASS
walk_ext_ports_call_binding_unresolved	tools/ext_ambient_inventory/fixtures/hook_scope/control_ext_ports_call.ail	GREEN	RED	GREEN	same	PASS
kept_capability_list_inline_migrated	tools/ext_ambient_inventory/fixtures/hook_scope/control_capability_list_inline.ail	GREEN	RED	GREEN	same	PASS
kept_applied_local_migrated	tools/ext_ambient_inventory/fixtures/hook_scope/reject_applied_local.ail	GREEN	RED	GREEN	same	PASS
yield_test_dummy_reinlined	packages/motoko-ext-test-dummy/register.ail	GREEN	RED	GREEN	same	PASS
yield_pin_bindings	tools/ext_ambient_inventory/fixtures/hook_scope/expected.json	GREEN	RED	GREEN	same	PASS
c2_view_dropped_tree	tools/ext_call_inventory/derive.py	GREEN	RED	GREEN	same	PASS
c2_view_dropped_selftest	tools/ext_call_inventory/derive.py	GREEN	RED	GREEN	same	PASS
c2_view_dropped_ambient	tools/ext_call_inventory/derive.py	GREEN	RED	GREEN	same	PASS
c2_view_dropped_hook	tools/ext_call_inventory/derive.py	GREEN	RED	GREEN	same	PASS
c2_projection_off_tree	tools/ext_call_inventory/derive.py	GREEN	RED	GREEN	same	PASS
c2_projection_off_selftest	tools/ext_call_inventory/derive.py	GREEN	RED	GREEN	same	PASS
c2_projection_off_ambient	tools/ext_call_inventory/derive.py	GREEN	RED	GREEN	same	PASS
c2_scope_filewide_tree	tools/ext_call_inventory/derive.py	GREEN	RED	GREEN	same	PASS
c2_scope_filewide_selftest	tools/ext_call_inventory/derive.py	GREEN	RED	GREEN	same	PASS
c2_alias_off_tree	tools/ext_call_inventory/derive.py	GREEN	RED	GREEN	same	PASS
c2_alias_off_selftest	tools/ext_call_inventory/derive.py	GREEN	RED	GREEN	same	PASS
c2_pin_view_removed	tools/ext_call_inventory/fixtures/expected.json	GREEN	RED	GREEN	same	PASS
c2_control_view_untyped	tools/ext_call_inventory/fixtures/control_view_receiver.ail	GREEN	RED	GREEN	same	PASS
c3_projections_unreported	tools/ext_ambient_inventory/derive.py	GREEN	RED	GREEN	same	PASS
