fix	test	baseline	mutated	restored	bytes	verdict
stub_answered_e2e	src/core/ext/runtime.ail	GREEN	RED	GREEN	same	PASS
stub_answered_unit	src/core/ext/runtime.ail	GREEN	RED	GREEN	same	PASS
tool_cursor_skips_later_atoms	src/core/ext/runtime.ail	GREEN	RED	GREEN	same	PASS
tool_cursor_drops_declared_vote	src/core/ext/runtime.ail	GREEN	RED	GREEN	same	PASS
finalize_cursor_drops_declared_vote	src/core/ext/runtime.ail	GREEN	RED	GREEN	same	PASS
tool_immediate_bypasses_merge	src/core/ext/runtime.ail	GREEN	RED	GREEN	same	PASS
finalize_immediate_bypasses_merge	src/core/ext/runtime.ail	GREEN	RED	GREEN	same	PASS
declared_atom_advances_world_unit	src/core/ext/runtime.ail	GREEN	RED	GREEN	same	PASS
declared_atom_advances_world_e2e	src/core/ext/runtime.ail	GREEN	RED	GREEN	same	PASS
tool_dispatch_reads_a_port	src/core/ext/runtime.ail	GREEN	RED	GREEN	same	PASS
finalize_dispatch_reads_a_port	src/core/ext/runtime.ail	GREEN	RED	GREEN	same	PASS
stub_usage_not_zero	src/core/ext/runtime.ail	GREEN	RED	GREEN	same	PASS
tool_order_reversed	src/core/ext/runtime.ail	GREEN	RED	GREEN	same	PASS
finalize_order_reversed	src/core/ext/runtime.ail	GREEN	RED	GREEN	same	PASS
judge_immediate_replaced	src/core/ext/runtime.ail	GREEN	RED	GREEN	same	PASS
tool_immediate_replaced	src/core/ext/runtime.ail	GREEN	RED	GREEN	same	PASS
judge_interpret_other_request	src/core/ext/runtime.ail	GREEN	RED	GREEN	same	PASS
